,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
1,40,Male,Associates degree,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
2,46,Male,College,"Upto to $99,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
3,52,Male,College,"$100,000 or more",Good,No Response,1,Purple – Very Unhealthy,Purple – Very Unhealthy
4,25,Female,Associates degree,"Upto to $49,999",Good,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
5,44,Male,College,"Upto to $49,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
6,30,Male,College,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
7,45,Male,College,"$100,000 or more",Excellent,Once per week,3,Purple – Very Unhealthy,Purple – Very Unhealthy
8,41,Female,Associates degree,"Upto to $99,999",Good,A few times per week,5,Red – Unhealthy,Red – Unhealthy
9,37,Male,College,"$100,000 or more",Fair,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
10,42,Male,College,"Upto to $49,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
11,57,Male,College,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
12,28,Male,College,"Upto to $99,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
13,41,Male,Associates degree,No Response,Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
14,27,Female,College,"$100,000 or more",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
15,42,Female,College,"$100,000 or more",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
16,38,Female,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
17,63,Male,College,"Upto to $49,999",Fair,Common,1,Purple – Very Unhealthy,Red – Unhealthy
